Hormone	TotalGenes	Species_with_Ortholog	GenesWithOrtholog	Percent
ABA	34	Dom. pepper	26	76.47058823529412
ABA	34	Potato	24	70.58823529411765
ABA	34	S. pennellii	27	79.41176470588235
ABA	34	S. pimp.	26	76.47058823529412
ABA	34	Tomato cherry	25	73.52941176470588
ABA	34	Wild pepper	25	73.52941176470588
Auxin	138	Dom. pepper	105	76.08695652173913
Auxin	138	Potato	119	86.23188405797102
Auxin	138	S. pennellii	121	87.68115942028986
Auxin	138	S. pimp.	114	82.6086956521739
Auxin	138	Tomato cherry	117	84.78260869565217
Auxin	138	Wild pepper	100	72.46376811594203
Ethylene	190	Dom. pepper	134	70.52631578947368
Ethylene	190	Potato	146	76.84210526315789
Ethylene	190	S. pennellii	166	87.36842105263158
Ethylene	190	S. pimp.	156	82.10526315789474
Ethylene	190	Tomato cherry	157	82.63157894736842
Ethylene	190	Wild pepper	135	71.05263157894737
Jasmonic Acid	92	Dom. pepper	74	80.43478260869566
Jasmonic Acid	92	Potato	77	83.69565217391305
Jasmonic Acid	92	S. pennellii	82	89.1304347826087
Jasmonic Acid	92	S. pimp.	77	83.69565217391305
Jasmonic Acid	92	Tomato cherry	79	85.8695652173913
Jasmonic Acid	92	Wild pepper	74	80.43478260869566
